因子,IC均值,IC标准差,IC_IR,IC胜率,IC_t值,样本期数,多空价差
rv,-0.007824050153256613,0.22916667407487526,-0.03414130865598841,0.4840764331210191,-1.3527887721618799,1570,0.00015911588746621928
intraday_mom,0.010677583558519634,0.3591937954042085,0.0297265256113456,0.5178343949044586,1.1778608279960405,1570,-1.5166531725295552e-05
intraday_range,-0.008579596369800477,0.22950747046746228,-0.037382645333180226,0.4834394904458599,-1.4812209862835983,1570,6.2856336421714e-05
vwap_dev,0.008768700811766056,0.2497386540063022,0.03511150825512488,0.5146496815286624,1.3912312096704247,1570,0.00022064294780996097
amihud,-0.023007302116911137,0.28304437342555333,-0.08128514210851305,0.4624203821656051,-3.2207795165664206,1570,-0.00020126720143686947
tick_count,0.014195355752325466,0.18929824692556754,0.07498936721747407,0.5318471337579618,2.9713206082839942,1570,0.0001832687458092892
tsmom_20,0.014285626692282902,0.24771180171210413,0.05767035156801273,0.5251612903225806,2.270484011717808,1550,0.0001634207887222485
tsmom_60,0.007541423432349139,0.24629486124585415,0.030619491589072217,0.5033112582781457,1.189834202908804,1510,0.00010560395197266412
ma_dev_20,0.012439621343071893,0.24506933021043203,0.05075960069091651,0.5067698259187621,1.9990520212413945,1551,5.179482740345099e-05
hv_20,-0.011103993503143826,0.240651189066011,-0.046141444578933634,0.4735483870967742,-1.816590489664015,1550,7.853069722456447e-05
atr_ratio,-0.0076767322946320925,0.25004474887445,-0.030701433760109306,0.47719974309569685,-1.2114429414464278,1557,6.620234200461635e-05
oi_chg_5,-0.006421640805381674,0.1944133146150155,-0.033030869403662226,0.4907348242811502,-1.3067038654661585,1565,-3.808215294281533e-05
vol_anom,-0.0020825761187859325,0.21195443808052974,-0.00982558392098721,0.49645390070921985,-0.38695839072353777,1551,5.501010720414231e-05
