,0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-30,0.0
2020-03-31,-0.03372100715310756
2020-04-01,-0.019129680052342016
2020-04-02,0.0053656275655382946
2020-04-03,-0.009257766200841108
2020-04-07,-0.013611537993651779
2020-04-08,0.0035364289194413367
2020-04-09,-0.004009190965033535
2020-04-10,0.01713939974142646
2020-04-13,0.011203399275951667
2020-04-14,-0.0066799790736508935
2020-04-15,0.0021592598213477643
2020-04-16,0.016747678498819932
2020-04-17,-0.006594293109189686
2020-04-20,0.013948225070422468
2020-04-21,-0.0019708369100814443
2020-04-22,0.020718036835326734
2020-04-23,-0.020362725885657018
2020-04-24,0.011987198072265226
2020-04-27,-0.002773268654146191
2020-04-28,0.006253114127834317
2020-04-29,-0.004021798666292736
2020-04-30,0.0029339753258307397
2020-05-06,-0.011482856313918884
2020-05-07,-0.007113979152973541
2020-05-08,0.0029783501099329254
2020-05-11,-0.0015477977545911685
2020-05-12,-0.0009914004665970656
2020-05-13,0.0025993605046451458
2020-05-14,-0.002586072872424642
2020-05-15,-0.0043728341016280765
2020-05-18,-0.0011503390903878914
2020-05-19,-0.002110137092249482
2020-05-20,-0.009403288449734776
2020-05-21,0.002614978573239766
2020-05-22,0.010667425093320686
2020-05-25,0.021084221969656695
2020-05-26,0.00046253720708394456
2020-05-27,-0.0011657309300994664
2020-05-28,0.0009589148479804939
2020-05-29,0.004429476657102924
2020-06-01,-0.0023605496525977224
2020-06-02,0.00569326797912365
2020-06-03,-0.03918856450151434
2020-06-04,-0.0013592509806812903
2020-06-05,2.9563920670337305e-05
2020-06-08,-0.00019709945853756713
2020-06-09,0.003920827265819741
2020-06-10,0.003675455333835977
2020-06-11,0.0033981268751655915
2020-06-12,0.0013995543044350357
2020-06-15,-0.011283550494581678
2020-06-16,0.00408961028587418
2020-06-17,-0.004813107697002149
2020-06-18,0.005320596033901842
2020-06-19,-0.00197937589092816
2020-06-22,0.0004144823439946322
2020-06-23,0.0024594892351761325
2020-06-24,0.0024120274024083174
2020-06-29,-0.0028296998413170037
2020-06-30,-0.0013990207407593592
2020-07-01,-0.0006089343405407465
2020-07-02,-0.003862038387454674
2020-07-03,0.0016052508034991894
2020-07-06,-0.003908054691907491
2020-07-07,-0.0008362882548285386
2020-07-08,0.0056551722949478
2020-07-09,0.004632385742956693
2020-07-10,-0.0017033799301862853
2020-07-13,0.0053998111674172945
2020-07-14,0.008295242593183969
2020-07-15,8.178243950874747e-05
2020-07-16,0.0022250887792147744
2020-07-17,0.0017489267282946544
2020-07-20,0.010047082371431959
2020-07-21,0.00033446268954475864
2020-07-22,0.00623857267945309
2020-07-23,-0.0022520438245459055
2020-07-24,-0.00105664266467897
2020-07-27,-0.007718706930740009
2020-07-28,0.0022253234138005108
2020-07-29,0.008025786877844386
2020-07-30,0.0015396333051511597
2020-07-31,-0.0035857812794288313
2020-08-03,0.0023039768050346645
2020-08-04,0.014620502603633503
2020-08-05,-0.0031181316820921416
2020-08-06,0.007632093703642326
2020-08-07,0.0003719521704026534
2020-08-10,-0.00043911514144307547
2020-08-11,0.001145717557236381
2020-08-12,0.011209651287003112
2020-08-13,-0.001896726032208083
2020-08-14,0.008065260429550525
2020-08-17,-0.001979030609512488
2020-08-18,-0.016988929486846577
2020-08-19,0.01380059528126509
2020-08-20,-0.00897638221879768
2020-08-21,-0.012872368731388077
2020-08-24,0.0002846488320279058
2020-08-25,-0.003714841402462303
2020-08-26,-0.005247071064817641
2020-08-27,0.005300940403104134
2020-08-28,0.002878138699595027
2020-08-31,0.00654934911651443
2020-09-01,-0.01023582239737214
2020-09-02,-0.01060511155693477
2020-09-03,0.0017022312089239333
2020-09-04,0.0011585273865507132
2020-09-07,-0.0015207865836065792
2020-09-08,0.004997023171660945
2020-09-09,-0.0031737680226111066
2020-09-10,0.0014895483056551631
2020-09-11,-0.0010908922585104175
2020-09-14,0.001646275660652406
2020-09-15,0.007907001848574267
2020-09-16,0.0001593700933059272
2020-09-17,0.00388191219185748
2020-09-18,0.002017840753040028
2020-09-21,0.003434598839404058
2020-09-22,-0.0017219266212355545
2020-09-23,0.0061278390164960115
2020-09-24,-0.005217823058704625
2020-09-25,-0.0023342606841080782
2020-09-28,0.003244989227945254
2020-09-29,0.001426592294846123
2020-09-30,-0.003473674605070907
2020-10-09,0.008523809469054726
2020-10-12,0.0008652475383615875
2020-10-13,0.00015031065475660426
2020-10-14,0.0002154945479955349
2020-10-15,-0.002586998863450886
2020-10-16,-0.007233504771824057
2020-10-19,0.006572717666817397
2020-10-20,-0.0048926156023933335
2020-10-21,0.005227455365686988
2020-10-22,0.0007294688296218217
2020-10-23,0.013237625738254077
2020-10-26,-0.014059003618802923
2020-10-27,0.008090163944312913
2020-10-28,0.0012137537935196733
2020-10-29,-0.0020640320258526806
2020-10-30,0.012005163241415123
2020-11-02,-0.00693023132619926
2020-11-03,0.0076019606842419075
2020-11-04,0.003583757693121535
2020-11-05,-0.001973691181665311
2020-11-06,0.00843609992005177
2020-11-09,0.0009071096960573058
2020-11-10,-0.005938118043930609
2020-11-11,-0.0013728683950616728
2020-11-12,0.004817649598582028
2020-11-13,-0.0005893702174611431
2020-11-16,0.0023144774404557688
2020-11-17,-0.0008076110218135414
2020-11-18,-0.0016918600494777965
2020-11-19,0.004805325134926001
2020-11-20,0.0005155420392102993
2020-11-23,0.0015860657066780197
2020-11-24,-0.0059791449467881345
2020-11-25,0.014438067178443799
2020-11-26,0.007985499371466585
2020-11-27,0.0003945112518938148
2020-11-30,-0.0021179557934633657
2020-12-01,-0.0038967641169968905
2020-12-02,0.00795340166838546
2020-12-03,-0.0003628142859708735
2020-12-04,-0.0008671907460089537
2020-12-07,-0.006346766085687169
2020-12-08,0.0017102600848240119
2020-12-09,0.00022012817906685958
2020-12-10,0.012117612037342709
2020-12-11,-0.010264509918165462
2020-12-14,-0.00036266623415147044
2020-12-15,-0.014336988241365306
2020-12-16,0.002576107394878611
2020-12-17,-0.0010331465672612007
2020-12-18,0.002546439205745244
2020-12-21,-0.0034023442123068733
2020-12-22,0.01946233558983838
2020-12-23,-0.012995525462842087
2020-12-24,0.0009275390158540679
2020-12-25,-0.013002330569132376
2020-12-28,0.004287837358627687
2020-12-29,-0.008800710932111759
2020-12-30,0.0011914879343293164
2020-12-31,0.00412473879867232
2021-01-04,-0.0006848809969815341
2021-01-05,0.002911197590743356
2021-01-06,0.0003304368638346155
2021-01-07,-0.0038881928008920904
2021-01-08,-0.00036002698202917786
2021-01-11,-0.0011888096335868708
2021-01-12,0.0059957491890886006
2021-01-13,-0.001003354309123515
2021-01-14,-0.0038854111845173294
2021-01-15,2.064068212823578e-05
2021-01-18,-0.002585873959942713
2021-01-19,-0.003382508198642283
2021-01-20,-0.0033271803875785312
2021-01-21,-0.000675645678241107
2021-01-22,0.005551718784737138
2021-01-25,-0.00017368956511645036
2021-01-26,0.00022298048293241022
2021-01-27,-0.0031630927544336724
2021-01-28,-0.00180704091808387
2021-01-29,-0.004306982904232311
2021-02-01,-0.0025736470316757767
2021-02-02,-0.0017123473873393387
2021-02-03,-0.010689792522959598
2021-02-04,0.0015473206501073636
2021-02-05,0.006148246825237541
2021-02-08,-0.001282303163426186
2021-02-09,0.0007387656732716546
2021-02-10,0.005420883857553072
2021-02-18,-0.0015995624728416774
2021-02-19,0.00035833193681604806
2021-02-22,-0.0006545539417116173
2021-02-23,-0.006579605375332149
2021-02-24,0.0003738445122067613
2021-02-25,0.00044371985913808877
2021-02-26,0.0012967184832892698
2021-03-01,-0.0030407960106337653
2021-03-02,0.0069023533251900745
2021-03-03,0.006458421408197841
2021-03-04,-0.002383210255839785
2021-03-05,-0.008537458511244921
2021-03-08,-0.017475561147862098
2021-03-09,-0.0021613353591597535
2021-03-10,-0.002081387062332395
2021-03-11,-0.0032163714475015237
2021-03-12,0.003960946625430274
2021-03-15,-0.007586122530565845
2021-03-16,0.008263390525324833
2021-03-17,0.0033017399834338154
2021-03-18,0.0054447917756079225
2021-03-19,0.008543132755999255
2021-03-22,0.0046339245669586365
2021-03-23,-0.02284688333975784
2021-03-24,0.004951466597243754
2021-03-25,0.0018156353379083542
2021-03-26,0.005402504854976151
2021-03-29,-0.00397019265044537
2021-03-30,0.006418971619529208
2021-03-31,-0.002848420952830534
2021-04-01,-0.0035668943878219865
2021-04-02,0.005805854789389487
2021-04-06,0.0043601206720586295
2021-04-07,0.003043440303267903
2021-04-08,0.0021094729771981282
2021-04-09,0.0022506021372356334
2021-04-12,-0.011865406843659857
2021-04-13,-0.007284137325966771
2021-04-14,0.0007051024444586334
2021-04-15,-0.00930373983899628
2021-04-16,-0.0014671758353060405
2021-04-19,0.008685879461539134
2021-04-20,0.0030316289421172746
2021-04-21,0.006181731254902315
2021-04-22,-0.0019899107043537
2021-04-23,0.005521883768607599
2021-04-26,0.0002246081363609084
2021-04-27,0.007770956408964245
2021-04-28,0.003786569414207198
2021-04-29,-0.002131225269579621
2021-04-30,0.0022215659672768944
2021-05-06,-0.012127435043696821
2021-05-07,0.0030932176348083926
2021-05-10,0.0011508191781658926
2021-05-11,0.004154014969935489
2021-05-12,0.0015512609300741894
2021-05-13,-0.011770207100584726
2021-05-14,0.0005077935360357578
2021-05-17,-0.0017661433890397414
2021-05-18,-0.001129703493873612
2021-05-19,-0.005188490885874192
2021-05-20,0.0042848597964543714
2021-05-21,-0.002801124066605357
2021-05-24,8.121837944863157e-05
2021-05-25,-0.010894730340577204
2021-05-26,-0.004158561858045759
2021-05-27,-0.0017467164113212797
2021-05-28,-0.002539757599813825
2021-05-31,-0.0028580982179914555
2021-06-01,0.0005666257096902654
2021-06-02,0.0013462321703583391
2021-06-03,-0.00013374505405043286
2021-06-04,-0.005794428409721521
2021-06-07,-0.004648258085410869
2021-06-08,-0.006841838765274642
2021-06-09,-0.0006842553590250777
2021-06-10,-0.0010698786441907737
2021-06-11,0.0007701506416193055
2021-06-15,-0.007629791519313211
2021-06-16,-0.0016418013071530992
2021-06-17,-0.00514859690901515
2021-06-18,-0.005110567091561258
2021-06-21,-0.0029800324959765112
2021-06-22,0.0001406541972946823
2021-06-23,0.010410836042597146
2021-06-24,0.00436378616931331
2021-06-25,0.0016989609863174032
2021-06-28,-0.0027741233917028523
2021-06-29,0.005080580756175115
2021-06-30,-0.0008428709963296262
2021-07-01,0.0010263192893978576
2021-07-02,-0.0023559829650519667
2021-07-05,0.0035113759530762995
2021-07-06,0.006304655036987233
2021-07-07,-0.0020597964278510563
2021-07-08,-0.001370777321594563
2021-07-09,0.00277404347542957
2021-07-12,0.0006754874946303
2021-07-13,-0.00035962221759028485
2021-07-14,0.0026179100409572708
2021-07-15,-0.0025809695955092086
2021-07-16,0.007316548078832945
2021-07-19,0.003611346688286887
2021-07-20,-0.0007780626718642016
2021-07-21,-0.0004945203511192621
2021-07-22,-0.0057722130431515535
2021-07-23,-0.0007472527304003814
2021-07-26,-1.6557809936662115e-05
2021-07-27,0.0015518455852345744
2021-07-28,0.0003450810438829819
2021-07-29,-0.012127423101751597
2021-07-30,0.006315931121061486
2021-08-02,-0.006026401569456938
2021-08-03,-0.00463022214127501
2021-08-04,0.0003359434557357575
2021-08-05,0.002411354275445706
2021-08-06,0.0011497649719762403
2021-08-09,-0.0027738425761245386
2021-08-10,-0.006717389356470953
2021-08-11,0.005855352510307429
2021-08-12,-0.004376252891455964
2021-08-13,-0.004146415759201719
2021-08-16,-0.004806438064379279
2021-08-17,-0.003430521166824995
2021-08-18,0.00619694641581165
2021-08-19,-0.0045006910026104
2021-08-20,0.00010151817229379391
2021-08-23,0.0007276410892086448
2021-08-24,0.0031090297872802823
2021-08-25,0.01022848380043165
2021-08-26,-0.0006352440193993527
2021-08-27,0.00015986489032261794
2021-08-30,0.005734660064796719
2021-08-31,-0.0006953695458390618
2021-09-01,-0.0012064833293190125
2021-09-02,0.0004294893133920335
2021-09-03,0.005651080809454206
2021-09-06,-0.0003264567716199077
2021-09-07,0.01077720294149534
2021-09-08,0.002852426415678869
2021-09-09,0.0039538890285118755
2021-09-10,-0.00377902541529295
2021-09-13,0.0008131330040277609
2021-09-14,-0.001578716208319393
2021-09-15,0.002281385261231621
2021-09-16,0.0017235485481871672
2021-09-17,-0.0029473090097692513
2021-09-22,0.015121823779529694
2021-09-23,0.0031827896503944584
2021-09-24,0.0022645573936897314
2021-09-27,-0.007466658249576181
2021-09-28,0.003135658356500982
2021-09-29,0.0030929594683609825
2021-09-30,-0.004640012584634008
2021-10-08,0.009655919764654597
2021-10-11,-0.0033745514232999393
2021-10-12,0.0003458203823979068
2021-10-13,-0.0009003704052225206
2021-10-14,0.003749428532012578
2021-10-15,0.0004812089179685661
2021-10-18,0.0025844047515291837
2021-10-19,0.001211949438608103
2021-10-20,-0.005800134251091886
2021-10-21,-0.0007923978598458324
2021-10-22,-0.001738700222652405
2021-10-25,-0.0036045264672657914
2021-10-26,-0.003832465712010856
2021-10-27,-0.004635831653261409
2021-10-28,-0.012223167321046205
2021-10-29,0.008591302105447618
2021-11-01,-0.0016452586912726944
2021-11-02,0.0022040444901001007
2021-11-03,-0.00906410059415966
2021-11-04,0.0005517986864934856
2021-11-05,0.0026664532724716148
2021-11-08,0.007002776675731036
2021-11-09,2.8226142615547746e-05
2021-11-10,-0.0014546099465312175
2021-11-11,0.0036683778353881155
2021-11-12,-0.0022300509562599444
2021-11-15,-0.007585802579348928
2021-11-16,0.0002515759714029102
2021-11-17,0.0036965538233881996
2021-11-18,0.0038433274905849916
2021-11-19,0.00046965931085838155
2021-11-22,0.006877442002090177
2021-11-23,0.001317845005777303
2021-11-24,-0.001956332685213944
2021-11-25,0.0022601519153830187
2021-11-26,-0.0009120105514658257
2021-11-29,0.0029363995450752646
2021-11-30,-0.00478991145735086
2021-12-01,0.005602623825529391
2021-12-02,-0.004179475686080925
2021-12-03,-0.0021234121977053446
2021-12-06,-0.003894032277903186
