,0
2020-04-30,-0.235646805300664
2020-06-30,0.15799504478749762
2020-07-31,0.255228981544771
2020-08-31,-0.3818382162302308
2020-09-30,0.01845554435581074
2020-11-30,0.1264790764790765
2020-12-31,-0.2725563909774436
2021-03-31,-0.07084521648949962
2021-04-30,0.04190052792442346
2021-05-31,-0.23495032144944483
2021-06-30,0.08673290473407365
2021-08-31,0.06879688802445125
2021-09-30,0.06767971946230276
2021-11-30,-0.42194469223907227
2021-12-31,-0.23261250730566924
2022-02-28,0.3207419483835246
2022-03-31,0.3270017533606078
2022-05-31,0.020733039053777373
2022-06-30,-0.4581808114675937
2022-08-31,-0.49940016610784715
2022-09-30,-0.007597895967270603
2022-10-31,-0.22901350395275158
2022-11-30,0.010274235970269498
2023-01-31,-0.2210267046927664
2023-02-28,-0.006429087777803369
2023-03-31,-0.3348918760958504
2023-05-31,-0.7515764865114277
2023-06-30,0.16140145805776865
2023-07-31,0.007364114552893046
2023-08-31,-0.20856689582231622
2023-10-31,-0.14421878345661648
2023-11-30,-0.07565284178187405
2024-01-31,-0.30006720430107525
2024-02-29,-0.40288461538461534
2024-04-30,-0.06753663003663002
2024-05-31,-0.011126373626373625
2024-07-31,0.009571678321678323
2024-09-30,-0.47841431836682813
2024-10-31,0.2292245068364472
2024-12-31,-0.1841352677173573
2025-02-28,-0.1389576183254849
2025-03-31,0.10647298268018199
2025-04-30,-0.29430850860785585
2025-06-30,0.07882581975035309
2025-07-31,-0.2910485933503837
2025-09-30,-0.37032193158953713
2025-10-31,-0.15345161627944798
2025-12-31,0.02562865779149785
2026-03-31,0.08445760829322471
2026-04-30,-0.5612625051267255
2026-06-30,-0.14892632358385785
