instrument_id,trading_day,IntradayMom,VWAP_Dev,IntradayMom_z,IntradayMom_roll_z
ag000,2020-01-02,-0.0029947016816401746,-0.0006546711589626372,-0.8370473347491597,
ag000,2020-01-03,-0.001131990038487661,-0.004163502343048817,-0.33689715497454154,
ag000,2020-01-06,-0.001125112511251125,-0.009235583872105992,-0.33505049422251193,
ag000,2020-01-07,0.0011243534967393747,-0.0027112691371078933,0.2689457455761693,
ag000,2020-01-08,0.00045004500450044997,-0.01501613811474082,0.0878895338664128,
ag000,2020-01-09,-0.004025044722719141,0.011684120886582706,-1.113701136275314,
ag000,2020-01-10,0.0018407731247123789,-0.0018752948482106538,0.46130907086163064,
ag000,2020-01-13,-0.0006833712984054668,0.004467124922702916,-0.21644010821306336,
ag000,2020-01-14,0.0016125316747293247,0.007394283440374143,0.4000247584664794,
ag000,2020-01-15,-0.0006996268656716416,-0.0020876849036570513,-0.22080483364998388,
ag000,2020-01-16,0.0009259259259259257,0.00011839571739093868,0.21566665346364877,
ag000,2020-01-17,0.0004633920296570898,-0.0021450580430284363,0.09147329684770382,
ag000,2020-01-20,0.0006946052326927528,-0.002776694581784977,0.15355554424743395,
ag000,2020-01-21,0.00023057412958266078,-0.003885666742035667,0.028960177866012522,
ag000,2020-01-22,-0.0020862308762169676,0.004534551802270729,-0.5931170204019451,
ag000,2020-01-23,-0.002323420074349442,0.0013186599796191764,-0.6568038613161841,
ag000,2020-02-03,0.0002292526364053186,-0.001682261592027086,0.02860534836105489,
ag000,2020-02-04,-0.002541589648798521,0.0008063302418237682,-0.7153838096851032,
ag000,2020-02-05,-0.0030239590602465683,0.0036802841672185253,-0.8449031310145206,
ag000,2020-02-06,0.0,0.0007345824679346812,-0.032950474158994277,
ag000,2020-02-07,0.00300230946882217,-0.002616016601872549,0.7731891267236635,
ag000,2020-02-10,-0.0013847219016847447,-0.00203596529006924,-0.4047573024522615,
ag000,2020-02-11,0.0,0.0004654638696115632,-0.032950474158994277,
ag000,2020-02-12,-0.0027972027972027968,-0.002365873592314988,-0.7840176009630627,
ag000,2020-02-13,0.0011742602160638796,0.0014083784982999623,0.2823460240002994,
ag000,2020-02-14,0.0023337222870478407,0.0006436127231179992,0.5936691240497676,
ag000,2020-02-17,0.005347593582887699,0.0009139376546695767,1.4029131506134893,
ag000,2020-02-18,0.00046189376443418,-0.0010910907007576484,0.09107100289987616,
ag000,2020-02-19,0.005215419501133786,0.0014786179023185363,1.3674235508175256,
ag000,2020-02-20,-0.0022446689113355778,-0.0010944513741474927,-0.6356586623350986,
ag000,2020-02-21,0.002679767753461366,0.0024241998585922,0.6865845803272616,
ag000,2020-02-24,0.003959524857017157,-0.0014280029651938943,1.0302076782792327,
ag000,2020-02-25,0.001556247220987105,-0.008030053015168041,0.38491201690974325,
ag000,2020-02-26,0.004556846662109819,-0.0009526048394809994,1.1905924642436234,
ag000,2020-02-27,0.0011428571428571427,-0.0011559617985440892,0.2739140947923823,
ag000,2020-02-28,-0.018633540372670804,-0.01650611709456761,-5.036177141844481,
ag000,2020-03-02,0.0039234919077979396,0.0003812658629519151,1.020532597277806,
ag000,2020-03-03,0.007856616744414435,-0.004328274288764942,2.076602172695546,
ag000,2020-03-04,-0.00383877159309021,0.0002217660817917251,-1.0636855905983589,
ag000,2020-03-05,-0.00048204386599180515,0.0011857220976127841,-0.1623823844180709,
ag000,2020-03-06,-0.0021418372203712514,-0.0018913481047462268,-0.608047685128078,
ag000,2020-03-09,-0.014371257485029936,-0.011932780519820748,-3.891726490912831,
