factor,period,quantile,N_days,ann_ret,ann_vol,sharpe,max_dd,win_rate
trading_day,ALL,Q1,1570,0.035708985999384435,0.12357691091705456,0.1271191024505248,-0.27782301441000445,0.5
trading_day,ALL,Q2,1570,0.08159253028345237,0.12225062808908878,0.5038217900898431,-0.22852256310159702,0.5140127388535032
trading_day,ALL,Q3,1570,0.14287875329446775,0.17554229377272965,0.6999951444952399,-0.22225145429027715,0.5280254777070064
trading_day,ALL,Q4,1570,0.07550313121928931,0.14819015562021443,0.37453993476823233,-0.358305791916412,0.5114649681528662
trading_day,ALL,Q5,1570,0.03755996100226788,0.12849260794637213,0.13666125454934136,-0.3190996800124727,0.5101910828025478
trading_day,ALL,LS,1570,0.0017874167825295828,0.10012533921601215,-0.18189784284453983,-0.20387715741912138,0.49171974522292994
trading_day,IS,Q1,970,0.0794612225572564,0.1307180610343745,0.4548814608076238,-0.21645411657908198,0.5030927835051546
trading_day,IS,Q2,970,0.11029234301550273,0.12402848890100104,0.7279967998930765,-0.22852256310159702,0.534020618556701
trading_day,IS,Q3,970,0.18424949687159353,0.18698510430940576,0.8784095261396254,-0.22225145429027715,0.5402061855670103
trading_day,IS,Q4,970,0.09016085125817352,0.1621797730409422,0.43261160095754636,-0.2778943826482927,0.520618556701031
trading_day,IS,Q5,970,0.060339401721061,0.14307769057447672,0.28194054264569635,-0.3018632954293352,0.5247422680412371
trading_day,IS,LS,970,-0.017719774888672046,0.10918574570622046,-0.34546427873618585,-0.20387715741912138,0.49072164948453606
trading_day,OOS,Q1,600,-0.03131879446991215,0.11103642916646193,-0.46217979860444547,-0.18264490371456077,0.495
trading_day,OOS,Q2,600,0.03674905839140852,0.11937269334004745,0.14030895946778058,-0.15718282468465983,0.4816666666666667
trading_day,OOS,Q3,600,0.07901900604623813,0.15535003140639217,0.37990984302955005,-0.14635669969666099,0.5083333333333333
trading_day,OOS,Q4,600,0.05222049619156022,0.12235116181199766,0.2633444236603947,-0.22230234339006716,0.49666666666666665
trading_day,OOS,Q5,600,0.0017595827895757754,0.10060894239089309,-0.1813001585838687,-0.16989923252722472,0.4866666666666667
trading_day,OOS,LS,600,0.034143281495494726,0.08346963605379763,0.16944223269859635,-0.11942201872684821,0.49333333333333335
TSMOM_20d,ALL,Q1,1550,0.2527035311841319,0.18126289299838977,1.2837902305034883,-0.2559464499889619,0.5451612903225806
TSMOM_20d,ALL,Q2,1550,0.09302897854876946,0.11962138586651318,0.6105010238743037,-0.22240148198713305,0.5225806451612903
TSMOM_20d,ALL,Q3,1550,0.054643900289549796,0.1158661811834372,0.2989992415017304,-0.29480698685729445,0.5090322580645161
TSMOM_20d,ALL,Q4,1550,0.03456014749078151,0.1266275031628482,0.11498408424002927,-0.4275839329225394,0.5090322580645161
TSMOM_20d,ALL,Q5,1550,-0.017954546045852116,0.19552957722068706,-0.1941115333309099,-0.5474872973520587,0.49612903225806454
TSMOM_20d,ALL,LS,1550,-0.2162369783943484,0.22795620339585868,-1.0363261664965955,-0.8773716568598403,0.46580645161290324
TSMOM_20d,IS,Q1,950,0.30122058027774345,0.19257400487911644,1.4603247227177556,-0.2559464499889619,0.5631578947368421
TSMOM_20d,IS,Q2,950,0.1580036097563693,0.13321726656884664,1.0359288499967012,-0.22240148198713305,0.5421052631578948
TSMOM_20d,IS,Q3,950,0.09594921765054876,0.12806352332343382,0.5930589419965702,-0.2718045303318103,0.5210526315789473
TSMOM_20d,IS,Q4,950,0.06892674815521005,0.13813660300443678,0.35419104778216226,-0.3114194566729953,0.5242105263157895
TSMOM_20d,IS,Q5,950,-0.020239397839818096,0.18650221173276854,-0.2157582876147094,-0.4521583806378968,0.5
TSMOM_20d,IS,LS,950,-0.24727763890893595,0.21911780599979871,-1.219789682036071,-0.796924469331623,0.45263157894736844
TSMOM_20d,OOS,Q1,600,0.17954319583319567,0.1618250072687571,0.9858995128498785,-0.13992897870290133,0.5166666666666667
TSMOM_20d,OOS,Q2,600,-0.002501559569656253,0.09397073463699845,-0.23945284302158545,-0.1409401835309767,0.49166666666666664
TSMOM_20d,OOS,Q3,600,-0.007608202002024389,0.09331989055041807,-0.29584477477616056,-0.1601844629208169,0.49
TSMOM_20d,OOS,Q4,600,-0.01761699300450037,0.10590330853252586,-0.35520130131673033,-0.26366323444457185,0.485
TSMOM_20d,OOS,Q5,600,-0.014326006994475171,0.20918750981172332,-0.16409204844672554,-0.3185890904587054,0.49
TSMOM_20d,OOS,LS,600,-0.16446201079972222,0.24141966552262942,-0.7640720170844231,-0.4734068209960699,0.4866666666666667
TSMOM_60d,ALL,Q1,1510,0.3546585326744316,0.1766307408166414,1.8946788714532836,-0.20252530379641132,0.5370860927152318
TSMOM_60d,ALL,Q2,1510,0.1237711631440348,0.11535149980595495,0.8996082696679222,-0.2206730913863476,0.5258278145695364
TSMOM_60d,ALL,Q3,1510,0.0686530603552129,0.11535512383394264,0.42176765745794287,-0.2712422008529902,0.5158940397350993
TSMOM_60d,ALL,Q4,1510,0.036315895985125524,0.1292508830057496,0.12623430962866014,-0.3467804402093685,0.5052980132450331
