factor,horizon,period,N_days,IC_mean,IC_std,IC_IR,pos_ratio,t_stat
HV_20d,20,OOS,581,-0.092999,0.197382,-0.4712,0.3184,-11.3569
AtrRatio_14d,20,IS,957,0.018738,0.249783,0.075,0.5246,2.3207
AtrRatio_14d,20,OOS,581,-0.082321,0.222796,-0.3695,0.3391,-8.9062
Amihud,20,IS,969,-0.002942,0.147666,-0.0199,0.5129,-0.6202
Amihud,20,OOS,581,-0.047852,0.148042,-0.3232,0.3735,-7.7911
OvernightGap,20,IS,969,-0.015362,0.208773,-0.0736,0.4716,-2.2905
OvernightGap,20,OOS,581,-0.010739,0.222375,-0.0483,0.4836,-1.1641
VolumeRatio_20d,20,IS,951,0.008449,0.160784,0.0526,0.5142,1.6206
VolumeRatio_20d,20,OOS,581,-0.000878,0.173507,-0.0051,0.494,-0.122
OI_Change,20,IS,969,0.000974,0.149371,0.0065,0.5026,0.2031
OI_Change,20,OOS,581,-0.027888,0.132384,-0.2107,0.4062,-5.0777
NdayHigh_20d,20,IS,951,-0.051265,0.211046,-0.2429,0.4101,-7.4909
NdayHigh_20d,20,OOS,581,-0.003945,0.206396,-0.0191,0.4888,-0.4607
VolRegime,20,IS,891,-0.001627,0.171952,-0.0095,0.4871,-0.2825
VolRegime,20,OOS,581,-0.045976,0.190421,-0.2414,0.3924,-5.8198
RV_5d,20,IS,966,0.021277,0.244485,0.087,0.5331,2.7049
RV_5d,20,OOS,581,-0.081073,0.236031,-0.3435,0.3528,-8.2793
IntradayMom,20,IS,970,0.038259,0.177557,0.2155,0.5948,6.7108
IntradayMom,20,OOS,581,0.043992,0.186214,0.2362,0.6041,5.6944
VWAP_Dev,20,IS,970,-0.091721,0.184228,-0.4979,0.2979,-15.5059
VWAP_Dev,20,OOS,581,-0.096103,0.198763,-0.4835,0.3167,-11.6544
Amplitude,20,IS,970,0.006692,0.230901,0.029,0.5165,0.9027
Amplitude,20,OOS,581,-0.06728,0.218825,-0.3075,0.3494,-7.411
